,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010,alpha_011,alpha_012,alpha_013,alpha_014,alpha_015,alpha_016,alpha_017,alpha_018,alpha_019,alpha_020,alpha_021,alpha_022,alpha_023,alpha_024,alpha_025,alpha_026,alpha_027,alpha_028,alpha_029,alpha_030,alpha_031,alpha_032,alpha_033,alpha_034,alpha_035,alpha_036,alpha_037,alpha_038,alpha_039,alpha_040,alpha_041,alpha_042,alpha_043,alpha_044,alpha_045,alpha_046,alpha_047,alpha_048,alpha_049,alpha_050,alpha_051,alpha_052,alpha_053,alpha_054,alpha_055,alpha_056,alpha_057,alpha_058,alpha_059,alpha_060,alpha_061,alpha_062,alpha_063,alpha_064,alpha_065,alpha_066,alpha_067,alpha_068,alpha_069,alpha_070,alpha_071,alpha_072,alpha_073,alpha_074,alpha_075,alpha_076,alpha_077,alpha_078,alpha_079,alpha_080,alpha_081,alpha_082,alpha_083,alpha_084,alpha_085,alpha_086,alpha_087,alpha_088,alpha_089,alpha_090,alpha_091,alpha_092,alpha_093,alpha_094,alpha_095,alpha_096,alpha_097,alpha_098,alpha_099,alpha_100,alpha_101,alpha_102,alpha_103,alpha_104,alpha_105,alpha_106,alpha_107,alpha_108,alpha_109,alpha_110,alpha_111,alpha_112,alpha_113,alpha_114,alpha_115,alpha_116,alpha_117,alpha_118,alpha_119,alpha_120,alpha_121,alpha_122,alpha_123,alpha_124,alpha_125,alpha_126,alpha_127,alpha_128,alpha_129,alpha_130,alpha_131,alpha_132,alpha_133,alpha_134,alpha_135,alpha_136,alpha_137,alpha_138,alpha_139,alpha_140,alpha_141,alpha_142,alpha_143,alpha_144,alpha_145,alpha_146,alpha_147,alpha_148,alpha_149,alpha_150,alpha_151,alpha_152,alpha_153,alpha_154,alpha_155,alpha_156,alpha_157,alpha_158,alpha_159,alpha_160,alpha_161,alpha_162,alpha_163,alpha_164,alpha_165,alpha_166,alpha_167,alpha_168,alpha_169,alpha_170,alpha_171,alpha_172,alpha_173,alpha_174,alpha_175,alpha_176,alpha_177,alpha_178,alpha_179,alpha_180,alpha_181,alpha_182,alpha_183,alpha_184,alpha_185,alpha_186,alpha_187,alpha_188,alpha_189,alpha_190,alpha_191
002146.XSHE,-0.523456468,-0.254464286,1.07,-1,-0.941741912,-0.643333333,0.76454698,0.187919463,1.88E-09,0.03,72315974.32,0.408322148,-0.110160276,1.28,-0.000967118,-0.973063973,0.810956295,1.134031414,0.118190212,13.28451883,0.142809524,0.011381947,57.15951532,0.629607324,-1.223277778,-0.099747642,-271.6340528,107.9440838,9781753.217,,13.63119699,-2.189082896,-0.3168,0.880040012,0.186666667,0.986531987,-0.474851892,-1.12,0.293333333,169.4676324,-0.588628763,-0.388991561,152950399,2,0.538144444,0.901008002,32.56682785,-0.260745953,0.162068966,0.675862069,0.837931034,8.69,58.33333333,0.82,35.61429418,1,604.2654123,55,21.06,164828919.3,-0.759322034,-0.948788413,92.80873451,-0.959183673,0.9170514,9.045141802,74.84140414,1.16E-07,0.794270833,241354373.8,17.0072927,37.45195001,-0.267558528,1.703097643,0.620689655,0.838217295,0.227118644,205.5301755,84.20320098,23.84896879,48505453.28,39.76912151,-0.955631399,285099994,0.0875,-0.49,-0.834382567,0.199335548,0.251904994,-0.932659933,-0.353890747,-1,0.79,353669399,196107597,427.0492055,20733115.3,-4.13,-0.966666667,18204426.85,1,58.79594283,65,0.020640311,0.487235367,1.8,-0.377290083,-0.931292124,1.239017632,209.4594595,-23757159.15,82.20338983,-0.206659956,-0.780095387,0.948815011,0.056616541,0,215.0943396,0.212663681,1.024590164,-0.71720208,0.002532556,1,0.282269326,1.162259887,10.68333333,0,73.46494529,0.21,0.435870307,0.925069927,431026530.9,35,16068333.69,1.08808597,-0.501655897,9.255172414,,-0.57006352,0.242320819,-0.246575342,-0.259758333,26.0977221,3.86E-11,30.76423445,0.043146518,0.034597902,1,0.303112404,786642945.4,0.773653967,0.015896788,9.757916667,-1,3419258.426,-0.929765886,0.436666667,0.051708218,-2422.424548,0.144095314,0.360833333,1,0.17114094,1397.75014,,-0.002950925,2.15,-1.620573486,0.00823527,-0.346096765,-6.579275591,49.08282166,12.84488673,0.219729602,0.441666667,0.766615566,100,3489365.111,0.293563579,-1,-0.003498282,5,,0.433299776,0.086666667,50.56283094,3.84,35.79678551,0.426388889,-1.435486651,0.721007454
002153.XSHE,0.488497503,-1.501017969,-1.32,1,-0.9701425,-0.14,0.316392617,0.553691275,5.53E-09,0.836666667,-887796.93,0.054004474,0.166945855,0.12,0,-0.37037037,0.765089155,1.003611195,0.003598201,-2.741324001,0.039380952,-0.00338436,51.46194951,0.238927973,-1.188488889,0.18500683,-19.80046593,50.83198703,-381019.6658,,3.117753156,-1.183459811,-0.391493333,0.969765117,0.243333333,0.063973064,-7.414748225,-0.47,0.19,149.6042589,-0.605351171,-0.502953556,4109696,0.95,0.045,0.960672789,45.71416845,-0.112821376,0.43024619,0.13950762,0.56975381,33.91666667,58.33333333,0.853333333,129.1480486,-1,167.2435951,50,2.91,10184377.61,-0.244067797,-0.740116011,66.54812943,-0.817857143,0.973713143,2.699650996,61.46192901,1.73E-06,0.783204288,133731458.3,8.225049691,44.35625527,-0.678929766,0.280572391,0.586206897,0.828745069,0.312080537,35.16921035,65.03040418,20.28760269,8051733.511,44.8737237,-0.201365188,23862069,0.28125,1,-0.809200969,0.179695791,-9.77E-05,-0.087542088,-0.463578595,-0.717171717,3.64,39145758,129401388.5,193.060479,3800722.226,-8.35,-0.593333333,3864312.371,1,63.42509469,10,0.039072366,-0.233277041,5.08,-0.073362778,-0.607393923,1.028485244,165.9574468,-3080189.009,25.3968254,-0.074282342,-2.852264964,0.146340369,0.22256391,0.015136719,183.6345382,-0.274967405,0.056451613,-0.769911633,0.002006339,-1,1.023818877,0.0237751,32.9,2.741324001,59.53478844,3.29,2.168571429,0.24168052,231038905.9,60,1000771.734,1.091911839,-0.344024258,17.41722222,,-0.473427878,0.333333333,-0.297945205,-0.319091111,75.60243631,9.44E-11,40.29486448,0.016163171,0.249434732,-1,0.694605404,457280751.9,2.550471191,0.030650148,32.0384375,-1,679724.9082,-0.37458194,0.571666667,0.042878561,-2009.103308,0.722877976,1.6175,0.382737469,0.194630872,437.7243043,,-0.000725624,5.53,-1.921942237,0.086623675,0.041847038,-29.70519298,44.71361102,37.4330052,0.766424543,1.67,0.101272637,70,442948.1538,0.788455851,-0.716666667,-0.003498282,7,,0.231073826,0.183333333,54.96781749,16.79,-7.817439228,0.580833333,-1.270349652,0.192280365
002179.XSHE,0.350325535,-1.706989247,-1.91,1,-0.666213614,-0.14,0.184563758,0.513422819,5.61E-08,0.91,-5000810.902,0.556241611,-0.073784894,1.12,0.000718219,-0.35016835,0.529798706,1.026794258,0.026095061,2.605785322,0.28647619,-0.000984879,51.4536455,1.411467827,-1.6124,-0.329385087,98.7363434,73.9835622,150754.6089,,4.8214104,-1.266854491,-0.8702,0.954003573,0.366666667,0.185185185,-15.65193059,-1.08,0.776666667,114.3119898,-0.846153846,-0.350600238,-6744858,0.583333333,0.535822222,0.952892008,31.77912572,-0.152010643,0.172104405,0.655791191,0.827895595,34.68333333,50,0.916666667,123.0501364,-1,284.241504,55,47.09,20187469.82,-0.837288136,0.860560899,79.78121321,-1,0.974565082,2.60987369,66.23717165,6.66E-06,0.792785879,34172709.29,11.00478469,34.57869236,0.218060201,0.286127946,0.75862069,0.819971789,0.13559322,49.87351507,74.70324456,-7.458882698,5532776.459,36.80749976,-0.313993174,23472254,0.175,1,-1.215012107,0.212771969,0.594153179,-0.35016835,-0.136923077,-0.933333333,2.7,22477668,75936392.52,322.4675638,1392610.789,-10.21,-0.39,1714074.602,1,49.07934121,10,-0.222522083,0.252844101,7.53,-0.023170833,-0.50072971,1.034223495,219.3325662,-363066.6007,62.55506608,-0.033143578,-0.223899608,0.546598383,0.393157895,0.006103516,199.7833153,0.383527011,0.142322097,-0.855704698,0.001710765,-1,0.462421144,0.162596754,42.6,0,77.56728711,1.7,0.032459016,0.44966443,207551416.7,70,882410.4211,1.05547812,-0.235056352,24.73967213,,-0.270179715,0.333333333,-0.595890411,-0.1022,18.61525035,4.71E-11,24.11097303,0.017387025,0.399297786,-1,0.254530994,246457230.6,2.208533983,0.010957642,40.898125,-1,103758.7294,-0.791946309,0.406666667,0.029822926,-2603.264365,0.762300376,1.655,0.964968414,0.22147651,70.82970822,,-0.005669845,7.38,-1.106030894,0.080783313,-0.669949553,-6.133111813,77.76519372,47.7178448,0.921616427,1.628333333,-0.542694233,80,159281.4975,0.135804154,-0.766666667,-0.003498281,6,,0.200894855,0.236666667,71.0959556,13.03,-16.84982665,0.659444444,-1.314412221,0.353994047
002202.XSHE,-0.702598296,-0.867924528,1.02,-1,-0.942809042,-0.643333333,0.56360179,0.16442953,4.34E-09,0.576666667,27224738.15,0.472304251,-0.219366278,1.18,-0.003436426,-0.909090909,0.824341233,1.083215797,0.076822917,4.13559322,0.097714286,0.004806843,52.15520514,0.473257056,-1.405333333,-0.059804714,496.3287295,95.41351545,2066112.514,,9.434186309,-2.161471343,-0.2124,0.913791233,0.126666667,0.939393939,0.060246005,-1.15,0.146666667,160.8931898,-0.635451505,-0.416289338,77992693,1.866666667,0.319177778,0.920043945,36.40428748,-0.208211733,0.322807018,0.354385965,0.677192982,17.77,58.33333333,0.823333333,54.14036651,-1,342.2937379,55,2.8,183649167,-0.745762712,-0.977630209,75.76506465,-0.891156463,0.930121528,7.512832478,66.67059205,2.82E-07,0.733421751,207030302.7,13.45561984,36.60753591,-0.287625418,1.242861953,0.793103448,0.65502359,0.33559322,155.4667341,70.34806185,4.787250387,38375935.77,37.3963583,-0.918088737,147324472,0.09375,-0.81,-1.6,0.201877934,0.066717993,-0.909090909,-0.484949833,-0.835016835,2.01,281036112,187782277.1,261.3766314,16156787.96,-6.74,-0.923333333,12467222.86,-1,55.59933634,5,-0.019688078,0.420142835,2.58,-0.119342167,-0.939160727,1.130941048,136.5724382,-14569311.34,34.23271501,-0.079870874,-1.313489983,0.545226799,0.071609023,0,147.3180077,0.292817867,0.369942197,-0.610738255,0.003414524,-1,0.448355156,0.963586745,15.04666667,0,61.32019152,1.95,0.1872,0.954741252,515599700.2,95,7608202.126,1.180198552,-0.315663567,14.07576159,,-0.356011542,0.235494881,-0.273972603,-0.564229167,61.44260772,4.20E-11,11.40666287,0.04207175,0.0602331,-1,0.410288774,751720603,1.934159531,0.036279049,14.131875,-1,783363.0055,-0.819397993,0.463333333,0.061197917,-1877.112916,0.3787292,0.73,0.817546287,0.117449664,523.1553506,,0.003307069,3.98,-1.339313682,0.021206597,-0.758371757,inf,36.04079498,17.88048167,0.412894949,0.725,0.952247074,100,2781238.157,0.279673742,-0.95,-0.003498282,4,,0.687225951,0.066666667,47.55557893,7.54,28.20949351,0.351666667,-1.004221193,-1.227091126
002230.XSHE,-0.900124651,-1.274503067,8.11,1,-0.924595134,-0.643333333,0.468959732,0.265100671,1.54E-08,0.87,126698408.1,0.89261745,-0.260390517,2.78,0.000271223,-0.98989899,0.634386357,1.077072359,0.071557272,17.19457014,0.965333333,0.001477065,69.07325232,3.510362435,-1.685733333,-1.749332781,-579.9387336,90.12970683,17338888.29,,14.69481143,-2.323926103,-3.094186667,0.871879022,0.673333333,0.707070707,-8.481161693,-2.81,0.383333333,274.4735646,-0.969899666,-0.697974471,463219955,1.8,0.7614,0.895353389,29.88320105,-0.277102845,0.242177722,0.515644556,0.757822278,40.6,66.66666667,0.963333333,127.4238997,-1,639.5377644,65,11.58,197057131.3,-0.952542373,-0.778944188,85.07297025,-0.93537415,0.944187044,5.911218138,73.51708961,1.38E-06,0.740310078,1321883228,23.72447287,34.0574902,-0.280936455,1.486632997,0.551724138,0.73430848,0.047457627,100.9665416,79.24930911,-24.36289677,69550410.8,36.55575904,-0.863481229,599153761,0.09375,-1,,0.341968912,1.297316729,-0.976430976,-0.35342252,-1,4.02,637848175,1311337124,532.9689335,37472495.28,-18.55,-0.893333333,33361402.32,1,58.21145892,5,0.065035933,0.470855045,9.9,-0.10760037,-0.970258539,1.13960488,214.7977941,-18746134.31,64.70588235,-0.823295961,-6.132605233,0.667726949,0.554789474,0,121.6101695,0.353398333,0.049808429,-0.953020134,0.002968005,1,1.005499885,0.422293333,38.11,0,72.49542657,2.37,0.808625954,0.946308725,2098284143,75,29054831.75,1.127498487,-0.443317547,31.52601283,,-0.463398132,0.061433447,-0.20890411,-0.45,49.77167734,1.73E-11,40.12436718,0.045179166,0.4442162,-1,0.655918605,3842986638,3.752997577,-0.004925647,34.78447917,-1,3257100.09,-0.959731544,0.23,0.064350064,-1586.722517,0.528823218,1.979166667,0.993779994,0.013422819,132.2304579,,-0.009489712,11.06,-1.591410272,0.042359867,-0.81363074,-12.99521334,81.47128253,43.35052922,1.183151364,2.516666667,0.703278003,80,5415293.234,0.213227766,-1,-0.003498281,7,,0.637337808,0.08,54.51850764,15.48,29.15453045,2.423888889,-0.28737674,-0.276066256
002236.XSHE,0.455718386,-1.081213744,-0.37,1,-0.9,-0.643333333,0.659748322,0.27852349,7.56E-10,0.626666667,-65596097.44,0.309261745,-0.113166676,0.24,-0.002425713,-0.801346801,0.746214937,1.014354067,0.014150943,-1.68115942,0.020809524,-0.004722006,55.11166121,0.334157172,-0.696944444,0.425051599,414.6681403,62.26892035,-1603409.395,,5.374339857,-2.379746246,-0.01026,0.948997642,0.036666667,0.084175084,-7.986564679,-0.99,-0.296666667,267.2253319,-0.518394649,-0.391120647,-64934447,1.2,0.204355556,0.93559601,35.64355984,-0.082514134,0.419858156,0.160283688,0.580141844,19.28,58.33333333,0.766666667,75.4250165,1,222.8554609,65,5.92,376627161.4,-0.616949153,-0.927228541,69.74555157,-0.7,0.959709119,4.198238788,65.66726201,8.56E-08,0.835791544,584541786.1,15.17175033,36.26755331,-0.178595318,0.721178451,0.689655172,0.475305372,0.147651007,41.87784276,68.92469979,24.38731348,89332704.18,38.15574561,-0.689419795,936278750,0.225,1,-0.662953995,0.389025389,0.09162694,-0.801346801,-0.351014493,-0.791245791,1.67,1080549817,551756729.2,291.6961776,31693726.89,-5.85,-0.596666667,34867045.87,1,49.80784017,5,-0.106654083,-0.099821834,4.75,-0.075767917,-0.672498419,1.058950281,195.543672,-9359877.193,39.89813243,-0.138423178,-2.370681983,0.29847479,0.209548872,0.012634277,170.6597222,0.017799444,0.44198895,-0.794274816,0.004408286,1,0.306559659,1.579744991,16.76333333,1.68115942,65.7562781,1.77,1.60875,0.956592717,1430550901,65,15340982.4,1.157945107,-0.352524001,8.23227154,,-0.429907319,0.215017065,-0.674657534,-0.044166667,56.87258684,1.91E-11,13.23906988,0.035317892,0.233438228,-1,0.314107317,1598806504,2.042711221,0.038984061,15.86770833,-1,112032.013,-0.81270903,0.583333333,0.048938679,-1779.045934,0.448666558,0.904166667,0.414545827,0.100671141,173.1626388,,-0.005413717,4.12,-1.015492766,0.063371454,-0.055800714,-5.078990196,54.37009398,20.29873182,0.555927815,0.903333333,-0.581117894,70,2718396.033,0.272541123,-0.458333333,-0.003498281,5,,1.082684564,0.193333333,68.10153978,10.17,1.511668874,0.463055556,-0.528084063,0.617408054
002241.XSHE,-0.76822123,-1.268199234,-0.03,-1,-0.903324452,-0.643333333,0.547002237,0.429530201,3.52E-10,0.376666667,-50071680.75,0.225816555,-0.005242528,0.29,-0.003314917,-0.86779661,0.953635115,1.032293987,0.031283711,-1.067235859,0.070904762,-0.003965386,59.18685174,0.375384254,-0.699733333,0.718869442,235.548707,79.09870153,-533317.7375,,5.842055186,-2.78176045,-0.01836,0.944804027,0.333333333,0.868686869,-5.096552257,-0.34,0.346666667,178.6754503,-0.183946488,-0.140453168,-8754109,0.316666667,0.450911111,0.93638754,32.83162177,-0.071457984,0.152173913,0.695652174,0.847826087,9.01,58.33333333,0.483333333,55.6465327,1,319.4759,65,11.01,174515988.4,-0.89,-0.543589876,75.55324284,-0.75170068,0.967457749,3.363687047,69.38802438,5.38E-08,0.892791128,178390662.8,16.78127132,37.03574475,0.345150502,1.647744108,0.586206897,0.899900655,0.224832215,38.39511823,74.02062795,-36.86683308,48531701.04,40.00772077,-0.781569966,405304100,0.1875,1,-0.447941889,0.393984962,0.158556171,-0.585858586,-0.232798216,-0.538720539,0.58,314659252,211810834.7,397.5073152,21858126.94,-2.67,-0.79,23098896.28,1,48.70833078,10,0.067943244,-0.006717086,2.62,-0.088381333,-0.87939174,0.958125047,266.3366337,-8780407.786,50,-0.124926238,-0.737617735,0.530527632,0.138443609,0.008422852,208.1896552,-0.651811122,0.943396226,-0.715160322,0.005347469,1,0.433484061,2.456993464,9.163333333,1.067235859,79.4838374,0.73,0.565714286,0.736180456,417576848,65,9341732.794,1.110174041,-0.105268814,4.585899281,,-0.207767396,,-0.517123288,-0.162083333,21.14197906,4.35E-11,26.89253081,0.030801732,0.14518648,-1,0.623147525,457908920.4,0.852175595,0.025462449,8.6803125,-1,-2559362.578,-0.638795987,0.776666667,0.038834951,-2317.383333,0.186298128,0.4075,0.309789529,0.275167785,1756.639803,,-0.00942866,2.19,-0.999047386,0.033548694,-0.239153731,-14.82801233,82.72082135,11.79006381,0.290089574,0.353333333,0.90398778,75,1214785.839,0.459809342,-49971872,-0.003498281,7,,1.160548098,0.223333333,80.60515043,5.41,2.194929294,0.145833333,-1.161246282,0.730857906
002252.XSHE,-0.611402958,,0.27,-1,-0.912870929,-0.643333333,,,8.59E-10,0.413333333,-6932104.926,,,0.41,0,-0.912457912,,1.044662309,0.042752868,4.923413567,0.097285714,-0.003489971,35.00633564,0.674573685,-0.722844444,0.649899339,-72.20666989,64.56410403,0,,4.239130435,-2.434208239,-0.0023,0.959332638,0.513333333,0.952861953,-14.08016551,0.54,-0.443333333,130.3280196,-0.264214047,-0.06138278,86669377,,0.146483333,0.942214112,35.23371949,-0.010599872,0.306390977,0.387218045,0.693609023,14.18,41.66666667,0.27,70.32226688,-1,338.7962113,50,28.46,465792651.1,,-0.455924387,75.44790465,-0.821428571,0.987660758,1.249340137,52.86199347,7.30E-08,0.823348694,830926284.1,21.67477268,42.13103457,0.8,0.972457912,0.586206897,0.843220291,,22.39662815,68.70594076,-100,108961184.3,47.60715846,-1,557520680,0.0375,1,,0.503134796,0.483965376,-0.875420875,-0.006187291,,1.15,274273011,640483178.8,441.098034,70648213.5,-3.77,-0.996666667,66174478.67,-1,28.93536037,10,0.267328366,0.251032781,3.21,-0.056005787,-0.476711222,0.76388383,215.2737752,25239268.71,54.97076023,,,0.568452927,0.222263158,0.008331299,250.6756757,0.410651324,,,0.006435906,1,,1.489308176,9.59,1.540041068,70.87123027,0.77,0.104781022,,958566847.1,80,0,1.022748398,0.004083965,,,0.408396501,,-0.506849315,-0.043435,3.1850493,5.11E-11,14.55846216,-0.004161491,0.233362471,1,0.115369818,0,-0.616233237,0.061246598,9.035833333,-1,-14675009.36,,0.755,0,-1669.947205,0.772750436,0.62,0.583346995,,370.1170697,,-0.015170882,2.65,0,0.098077456,,,86.60917375,12.52686233,0.564235445,0.48,0.897143331,90,0,0.001615362,0,-0.003498281,8,,1.826666667,0.983333333,73.4883952,6.51,-100,0.251944444,-1.713701062,0.634345517
002271.XSHE,-0.881012444,-0.604355717,0.96,-1,-0.748455199,-0.643333333,0.191795302,0.174496644,8.16E-09,0.656666667,18344004.61,0.535469799,-0.005529591,1.26,0.002,-0.925925926,0.421077944,1.066701959,0.062531017,6.332453826,0.281952381,0.002862634,64.71358388,1.295050575,-1.196,0.199003024,179.5428589,84.37341989,1153100.517,,7.898259705,-1.354878858,-0.11748,0.926799007,0.1,0.760942761,-6.440202943,-0.38,-0.143333333,173.3047238,-0.632107023,-0.399039582,56227638,0.983333333,0.001822222,0.937303557,23.90945134,-0.215267596,0.14951989,0.700960219,0.85048011,18.89666667,66.66666667,0.623333333,82.86643759,-1,443.7894798,60,3.8,95032558.69,-0.803389831,-0.377709511,85.83066148,-0.928571429,0.966087676,3.510273973,73.02558278,8.31E-07,0.684684685,152110558.3,15.74916228,27.09012589,0.796655518,1.540707071,0.689655172,0.644880587,0.037288136,66.3518863,80.17310062,-27.52118167,21509726.4,29.58684721,-0.76109215,111340491,0.225,-0.15,-1.827118644,0.255451713,0.409962622,-0.653198653,-0.544659978,-1,2.1,171210754,166505531.1,446.043616,6117518.498,-9.18,-0.52,8635508.832,1,44.89755202,5,0.019798018,0.414583627,4.1,-0.2232025,-0.409908162,1.057902617,202.7083333,-1582930.204,75.92920354,-0.188800953,-0.753292706,0.715220769,0.234481203,0.016601563,168.6090226,0.583685732,0.505102041,-0.851137507,0.003693472,1,0.241295658,0.554364261,20.04333333,0,81.53079622,0.68,1.276696833,0.455548657,366147789.8,90,4925487.762,1.148856668,-0.034866046,0.64516129,,-0.475446081,,-0.390410959,-0.1595,39.58634356,4.94E-11,7.947552087,0.054129248,0.212354312,-1,0.751257387,364976653.1,2.25362582,0.018942894,18.88666667,-1,171399.2656,-0.815436242,0.395,0.028784119,-2163.322657,0.331144594,0.894166667,1,0.342281879,370.7233146,,-0.001526991,4.97,-0.890336385,0.02914914,-0.60128052,-3.368080749,71.59998563,23.99699758,0.609551583,0.895,0.949838563,95,136570.3425,0.06043956,-18209379,-0.003498282,4,,1.18114094,0.753333333,61.1645208,6.66,-30.19353499,0.686388889,-1.432235011,0.719279432
002294.XSHE,-0.988534913,-1.228915663,2.05,-1,-0.918558654,-0.643333333,0.236180089,0.184563758,1.70E-08,0.75,17761041.9,0.748154362,0.060835151,1.42,-0.00040568,-0.898989899,0.792581708,1.058847907,0.055577299,10.46260268,0.385809524,0.003246752,56.91252444,1.457136262,-0.879022222,-0.316007512,461.2423757,101.0228896,1927861.665,,9.304812834,-1.593057694,-0.088853333,0.914872798,0.623333333,0.750841751,-3.052572172,-0.85,0.34,166.8223588,-0.79264214,-0.51740548,53717682,1.933333333,0.630933333,0.927515492,29.57165536,-0.104530857,0.256692913,0.486614173,0.743307087,19.38666667,58.33333333,0.893333333,97.14495389,-1,460.3549805,65,4.91,57717337.95,-0.820338983,-0.171717065,83.64728727,-0.911564626,0.956555773,4.541734861,65.51713884,1.53E-06,0.835345774,121373998.1,15.34771731,36.31824221,0.636120401,1.357811448,0.620689655,0.718638417,0.261016949,99.01004513,76.54333926,-28.43750081,13630879.42,40.0603175,-0.648464164,101158881,0.06875,-0.9,-1.010653753,0.276223776,0.67295389,-0.898989899,-0.711259755,-1,1.5,80271919,146521993.9,430.5169424,5567387.241,-5.75,-0.716666667,5747692.076,1,55.59462556,5,0.2737165,-0.320827838,5.53,-0.174747222,-0.938920727,1.088163006,268.287037,-4147934.909,56,-0.089682622,-1.854427314,0.997923389,0.24662406,0,196.952381,0.066674225,0.113636364,-0.930389911,0.002036497,1,0.804288913,1.191274962,25.20333333,0,77.69621552,1.43,0.488786611,0.848993289,289243260.5,95,3061224.217,1.037936247,-0.135636234,18.55384615,,-0.333531722,,-0.797945205,-0.2668,24.8847046,6.02E-11,38.17774945,0.005146202,0.211104312,-1,0.406696709,464402038.7,0.899201251,0.022978195,23.69802083,-1,502935.3062,-0.842281879,0.338333333,0.040704501,-2484.114271,0.414175627,0.931666667,1,0.181208054,226.7570276,,-0.007902756,5.07,-1.463919906,0.063508885,-0.766897539,inf,78.16108485,29.07196917,0.547067931,1.071666667,0.504738874,100,672762.4138,0.150160399,-0.983333333,-0.003498281,5,,1.056420582,0.143333333,66.79882855,9.11,13.57686067,1.001666667,-0.804289637,0.471633996
002304.XSHE,-0.411929659,0.487920792,9.18,-1,-0.40824829,-0.643333333,0.152097315,0.016778523,1.45E-06,0.996666667,-6759340.535,0.55147651,0.784474591,11.59,0.012417219,-0.797979798,1.21E-06,1.107106552,0.096744574,8.731167181,1.352285714,0.010065692,58.46676736,6.519326684,-1.536355556,-5.292408197,772.9681884,83.26525613,555245.2182,,7.889048991,,-0.5082,0.92687813,0.016666667,0.151515152,-24.86871406,-7.11,0.213333333,174.6690918,-0.983277592,-0.493766925,22342908,1.75,0.558055556,0.938883382,31.7473883,-0.082528051,0.170562048,0.658875904,0.829437952,108.5166667,66.66666667,0.006666667,336.9559553,-1,556.0297655,60,24.24,20195771.45,-0.983050847,0.71976508,79.45004409,,0.953199777,4.90980209,66.02123049,9.68E-05,0.61401453,184267882.9,13.00509765,36.00028451,-0.046822742,0.819393939,0.655172414,0.655353297,0.94966443,121.8114831,73.56003284,-20.71897076,7650781.112,38.62315854,-0.293515358,52347872,0.0375,-1,-1.989830508,0.21010101,2.368149369,-0.410774411,-0.644503902,-0.986531987,16.47,62545006,249171580.1,423.2289819,2095036.478,-35,-0.27,2314714.452,1,43.27745405,10,0.92563515,1.13E-16,20.8,-0.062282,-0.368927378,1.177012415,193.3569816,199838.4402,53.21414987,-0.296955812,-0.073129462,0.999065143,1.018157895,0.022827148,132.8453553,,0.430976431,-0.98653173,0.00133079,1,0.111152005,0.324429379,120.2666667,0.82781457,72.76549913,6.15,0.845625,0.240887675,884501572,85,840820.9482,1.073472805,-0.011250247,5.473362702,,-0.135002959,,,-0.000186667,52.39924189,2.55E-11,7.637656642,0.020737233,0.823575175,-1,0.953142643,764817465.9,7.61106399,0.015112061,112.4782292,-1,-74445.98854,-0.996644295,0.21,0.041736227,-2172.539153,1.826270904,4.743333333,0.843382436,0.989932886,28.94645688,,-0.004026443,20.14,-0.769373259,0.170324304,-0.988671559,-0.623692787,63.0786867,126.9533332,2.588290489,5.718333333,0.585045302,95,-52643.60099,0.028120947,-6359347,-0.003498282,7,,1.547002237,0.293333333,51.5692545,42.67,-1.901316929,3.96,-0.828000849,1.577680847
